1.008,H
4.003,He
6.941,Li
9.012,Be
10.81,B
12.01,C
14.01,N
16,O
19,F
20.18,Ne
22.99,Na
24.31,Mg
26.98,Al
28.09,Si
30.97,P
32.07,S
35.45,Cl
39.95,Ar
39.1,K
40.08,Ca
44.96,Sc
47.87,Ti
50.94,V
51.9961,Cr
54.938,Mn
55.845,Fe
58.9332,Co
58.6934,Ni
63.546,Cu
65.39,Zn
69.723,Ga
72.64,Ge
74.9216,As
78.96,Se
79.904,Br
83.8,Kr
85.4678,Rb
87.62,Sr
88.9059,Y
91.224,Zr
92.9064,Nb
95.94,Mo
98,Tc
101.07,Ru
102.9055,Rh
106.42,Pd
107.8682,Ag
112.411,Cd
114.818,In
118.71,Sn
121.76,Sb
127.6,Te
126.9045,I
131.293,Xe
132.9055,Cs
137.327,Ba
138.9055,La
140.116,Ce
140.9077,Pr
144.24,Nd
145,Pm
150.36,Sm
151.964,Eu
157.25,Gd
158.9253,Tb
162.5,Dy
164.9303,Ho
167.259,Er
168.9342,Tm
173.04,Yb
174.967,Lu
178.49,Hf
180.9479,Ta
183.84,W
186.207,Re
190.23,Os
192.217,Ir
195.078,Pt
196.9665,Au
200.59,Hg
204.3833,Tl
207.2,Pb
208.9804,Bi
209,Po
210,At
222,Rn
223,Fr
226,Ra
227,Ac
232.0381,Th
231.0359,Pa
238.0289,U
